track_name,artist_name,genre,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,popularity
Like a Rolling Stone,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",0.482,0.721,-6.839,0.0321,0.731,0.189,0.557,95.263,369600,0
Smells Like Teen Spirit,Nirvana,"['grunge', 'permanent wave', 'rock']",0.502,0.912,-4.556,0.0564,2.55e-05,0.106,0.72,116.761,301920,0
A Day In The Life - Remastered 2009,The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",0.364,0.457,-14.162,0.0675,0.29,0.922,0.175,163.219,337413,0
Good Vibrations (Mono),The Beach Boys,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']",0.398,0.413,-10.934,0.0388,0.0822,0.0891,0.331,133.574,219147,0
Johnny B. Goode,Chuck Berry,"['blues', 'blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",0.534,0.803,-9.129,0.0743,0.741,0.307,0.969,167.983,161560,0
Respect,Aretha Franklin,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul', 'vocal jazz']",0.805,0.558,-5.226,0.041,0.164,0.0546,0.965,114.95,147600,0
Be My Baby,The Ronettes,"['brill building pop', 'classic girl group', 'motown', 'rock-and-roll']",0.511,0.769,-7.032,0.042,0.181,0.0921,0.818,129.657,160907,0
What's Going On,Marvin Gaye,"['classic soul', 'motown', 'neo soul', 'northern soul', 'quiet storm', 'soul']",0.283,0.716,-9.632,0.0986,0.447,0.399,0.828,201.96,233000,0
I Heard It Through The Grapevine,Marvin Gaye,"['classic soul', 'motown', 'neo soul', 'northern soul', 'quiet storm', 'soul']",0.711,0.362,-10.851,0.0381,0.272,0.127,0.616,117.287,194293,0
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']",0.723,0.863,-7.89,0.0338,0.0383,0.128,0.931,136.302,222813,0
Billie Jean,Michael Jackson,"['r&b', 'soul']",0.92,0.654,-3.051,0.0401,0.0236,0.036,0.847,117.046,293827,0
Heartbreak Hotel,Elvis Presley,"['rock-and-roll', 'rockabilly']",0.695,0.295,-8.672,0.0609,0.843,0.0856,0.732,93.574,127960,0
Born to Run,Bruce Springsteen,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",0.27,0.944,-4.199,0.0975,0.00501,0.116,0.606,146.347,269920,0
My Generation - Stereo Version,The Who,"['album rock', 'british invasion', 'classic rock', 'hard rock', 'rock']",0.412,0.782,-9.186,0.058,0.308,0.0775,0.705,96.732,198707,0
Love Will Tear Us Apart - 2020 Remaster,Joy Division,"['alternative rock', 'art rock', 'indie rock', 'madchester', 'new wave', 'post-punk', 'rock', 'uk post-punk']",0.527,0.923,-7.458,0.0379,0.000541,0.127,0.899,146.924,208453,0
God Only Knows - Mono,The Beach Boys,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']",0.521,0.487,-7.525,0.0299,0.253,0.0579,0.483,117.072,173040,0
(Sittin' On) the Dock of the Bay,Otis Redding,"['classic soul', 'memphis soul', 'soul', 'soul blues', 'southern soul', 'vocal jazz']",0.484,0.312,-13.522,0.0535,0.724,0.0601,0.598,205.981,166827,0
Hey Ya!,Outkast,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",0.727,0.974,-2.261,0.0664,0.103,0.174,0.965,79.526,235213,0
Anarchy in the U.K.,Sex Pistols,"['alternative rock', 'punk', 'rock']",0.323,0.978,-3.841,0.118,0.0422,0.201,0.168,134.222,211973,0
Paper Planes,M.I.A.,"['escape room', 'indietronica', 'neo-synthpop', 'new rave']",0.447,0.848,-6.175,0.222,0.033,0.65,0.485,172.253,205200,0
London Calling - Remastered,The Clash,"['alternative rock', 'permanent wave', 'punk', 'rock']",0.651,0.801,-7.34,0.0514,0.123,0.0825,0.776,133.769,200480,0
Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']",0.702,0.668,-9.237,0.214,0.518,0.0588,0.561,116.063,378147,0
Strawberry Fields Forever - Remastered 2009,The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",0.39,0.502,-12.277,0.178,0.336,0.0713,0.289,97.871,247320,0
Tutti Frutti,Little Richard,"['blues', 'rock-and-roll', 'rockabilly', 'soul']",0.555,0.658,-3.866,0.0541,0.793,0.118,0.937,184.835,144227,0
Stairway to Heaven - Remaster,Led Zeppelin,"['album rock', 'classic rock', 'hard rock', 'rock']",0.338,0.34,-12.049,0.0339,0.58,0.116,0.197,82.433,482830,0
The Message (feat. Melle Mel & Duke Bootee),Grandmaster Flash & The Furious Five,"['bronx hip hop', 'old school hip hop']",0.947,0.607,-10.58,0.202,0.0249,0.0861,0.732,100.619,431800,0
"What'd I Say, Pt. 1 & 2",Ray Charles,"['classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",0.435,0.41,-14.628,0.164,0.753,0.0737,0.756,87.168,391427,0
Imagine - Remastered 2010,John Lennon,"['beatlesque', 'classic rock', 'rock']",0.547,0.257,-12.358,0.0252,0.907,0.0935,0.169,75.752,187867,0
A Change Is Gonna Come,Sam Cooke,"['classic soul', 'soul', 'vocal jazz']",0.212,0.383,-10.071,0.0347,0.723,0.299,0.452,173.79,191160,0
Heroes - 2017 Remaster,David Bowie,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",0.489,0.758,-6.491,0.0297,0.000678,0.092,0.435,112.113,371413,0
When Doves Cry,Prince,"['funk', 'funk rock', 'minneapolis sound', 'rock', 'synth funk']",0.729,0.989,-4.613,0.049,0.0102,0.443,0.84,126.47,352906,0
Superstition,Stevie Wonder,"['motown', 'soul']",0.611,0.578,-14.171,0.0676,0.0598,0.0983,0.884,100.625,266133,0
Common People,Pulp,"['bubblegrunge', 'chicago indie', 'countrygaze', 'nu gaze']",0.314,0.797,-9.026,0.038,0.0057,0.0718,0.569,145.393,351627,0
Gimme Shelter,The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']",0.634,0.63,-8.277,0.031,0.447,0.17,0.489,118.628,270773,0
Strange Fruit,Billie Holiday,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'soul', 'swing', 'torch song', 'vocal jazz']",0.313,0.0437,-22.627,0.0315,0.989,0.209,0.0625,100.827,192867,0
You Really Got Me,The Kinks,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock', 'singer-songwriter']",0.573,0.939,-6.441,0.0808,0.493,0.0994,0.963,137.382,134253,0
Crazy In Love (feat. Jay-Z),Beyoncé,"['pop', 'r&b']",0.646,0.77,-6.596,0.226,0.00249,0.0715,0.681,99.165,236133,0
Seven Nation Army,The White Stripes,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']",0.743,0.446,-7.807,0.0683,0.0039,0.337,0.278,123.596,232107,0
Losing My Religion,R.E.M.,"['alternative rock', 'athens indie', 'permanent wave', 'rock']",0.666,0.855,-5.051,0.0295,0.179,0.0987,0.803,125.639,268427,0
God Save the Queen,Sex Pistols,"['alternative rock', 'punk', 'rock']",0.274,0.908,-5.419,0.0691,0.00103,0.154,0.483,148.246,200080,0
Bohemian Rhapsody - Remastered 2011,Queen,"['classic rock', 'glam rock', 'rock']",0.392,0.402,-9.961,0.0536,0.288,0.243,0.228,143.883,354320,0
Blue Monday,New Order,"['dance rock', 'madchester', 'new romantic', 'new wave', 'permanent wave', 'post-punk', 'synthpop', 'uk post-punk']",0.762,0.651,-13.34,0.0655,0.00198,0.111,0.941,130.395,449160,0
Purple Haze,Jimi Hendrix,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']",0.533,0.905,-5.27,0.0754,0.00876,0.0698,0.486,108.9,170813,0
Louie Louie,The Kingsmen,['classic garage rock'],0.623,0.709,-9.818,0.0636,0.102,0.0967,0.948,122.394,165381,0
I Want You Back,The Jackson 5,"['motown', 'soul']",0.469,0.538,-13.559,0.0571,0.305,0.37,0.886,196.605,176333,0
Crazy,Gnarls Barkley,"['atl hip hop', 'neo soul']",0.835,0.741,-1.609,0.0339,0.0172,0.0826,0.612,111.963,182066,0
You've Lost That Lovin' Feelin' - Single Version,The Righteous Brothers,"['adult standards', 'brill building pop', 'folk rock', 'rock-and-roll', 'rockabilly']",0.369,0.305,-14.303,0.0267,0.522,0.0579,0.376,94.791,226453,0
Hey Jude - Remastered 2015,The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",0.386,0.607,-7.7,0.0261,0.0112,0.088,0.532,147.207,425653,0
Waterloo Sunset,The Kinks,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock', 'singer-songwriter']",0.512,0.69,-6.969,0.0249,0.162,0.167,0.417,107.839,194216,0
Take Me Out,Franz Ferdinand,"['alternative rock', 'dance rock', 'indie rock', 'modern rock', 'rock', 'scottish rock']",0.277,0.663,-8.821,0.0377,0.000409,0.136,0.527,104.561,237027,0
